Appliance_ID,Purchase_Date,Appliance_Category,Brand,Purchase_Channel,Region,City,Purchase_Price_INR,Appliance_Age_Years,Household_Size,Daily_Usage_Hours,Annual_Usage_Hours,Usage_Intensity_Score,Service_Calls_Last_12M,Repair_History,Prior_Claims,Extended_Warranty,Claim_Filed,Claim_Outcome,Claim_Amount_INR,Claim_Probability,Claim_Risk_Level,Suggested_Annual_Premium_INR,Customer_Satisfaction
APP-00001,2024-01-27,Refrigerator,LG,Authorized Dealer,South,Hyderabad,48000,2.5,1,9.5,3324.0,6.1,1,Yes,2,No,0,No Claim,0,0.2564,Medium,1500,3.5
APP-00002,2022-12-04,Washing Machine,Samsung,Authorized Dealer,East,Bhubaneswar,25000,2.5,6,1.2,450.0,2.2,0,No,0,No,1,Partially Approved,16000,0.0764,Low,600,3.0
APP-00003,2021-07-14,Air Conditioner,Panasonic,Authorized Dealer,East,Guwahati,38500,7.6,5,8.6,2949.0,5.9,1,Yes,0,No,1,Approved,39500,0.5617,High,1700,3.5
APP-00004,2024-05-03,Air Conditioner,Panasonic,Online Marketplace,East,Siliguri,32000,4.7,1,10.5,3909.0,6.1,2,Yes,1,Yes,0,No Claim,0,0.6151,High,1400,3.0
APP-00005,2023-01-09,Refrigerator,Samsung,Authorized Dealer,South,Bengaluru,59000,2.1,2,12.5,4866.0,7.9,2,Yes,0,No,0,No Claim,0,0.1567,Low,1500,4.3
APP-00006,2021-08-29,Air Conditioner,Samsung,Authorized Dealer,North,Chandigarh,28000,6.6,7,8.9,3680.0,6.8,1,Yes,2,No,1,Approved,28500,0.7183,High,1200,4.1
APP-00007,2022-05-19,Washing Machine,IFB,Authorized Dealer,East,Ranchi,23500,1.9,2,2.5,782.0,2.0,0,No,0,No,0,No Claim,0,0.0649,Low,600,4.3
APP-00008,2025-08-11,Refrigerator,O General,Online Marketplace,West,Ahmedabad,39500,1.1,1,7.0,2588.0,4.6,0,No,0,No,1,Rejected,22000,0.0611,Low,1000,5.0
APP-00009,2024-11-02,Washing Machine,Whirlpool,Unauthorized Reseller,South,Chennai,18000,1.4,5,0.3,109.0,1.5,1,Yes,1,No,0,No Claim,0,0.2203,Medium,600,4.1
APP-00010,2023-12-23,Refrigerator,Haier,Online Marketplace,South,Bengaluru,80500,9.5,4,6.3,2611.0,4.9,1,Yes,0,No,1,Rejected,93000,0.7637,High,3500,4.5
APP-00011,2021-12-04,Washing Machine,Bosch,Authorized Dealer,North,Delhi,41000,9.5,6,1.4,441.0,2.1,2,Yes,1,No,1,Partially Approved,54000,0.7923,High,1800,3.8
