Response ID,Create Time,Last Submitted Time,Respondent Email,1. What type of home appliance do you own?,2. Brand of the appliance?,3. Where did you purchase it?,4. City / Region? (e.g: Hyderabad),5. Approximate purchase price (INR)?,6. How old is the appliance? (in years),7. Household size?,8. Daily usage hours?,9. Did you purchase an extended warranty?,10. Service calls made in the last 12 months?,11. Any prior repair history?,12. Have you ever filed a warranty claim for this appliance?,"13. If you filed a claim, what was the outcome?",14. Number of prior warranty claims made?,15. How satisfied are you with the appliance? (1-5 Scale)
ACYDBNhs3nd92lJnk80sf-EnEN6IMRXR1RW7V7OZfilWl5Ilg_FUwBuHG9dBuUWSd_8VCb4,2026-09-18T14:11:26.705Z,2026-09-18T14:11:26.705087Z,,Air Conditioner,Other,Authorized Dealer,Chennai ,Around 60k,1-2 years,3-4 members,More than 8h,Yes,3 or more,No,Yes,Partially Approved,2,5
ACYDBNipClvM6-5f3M8dMgA9R1LexHmXodhC0mjl7tpGkwBLcQaRjPbN0AO4v5MtYph1pk4,2026-09-19T05:11:42.855Z,2026-09-19T05:11:42.855510Z,,Washing Machine,Samsung,Online Marketplace (Amazon/Flipkart),Chennai ,15000,3-5 years,1-2 members,Less than 2h,Yes,0,No,No,Not Applicable,0,5
ACYDBNjMjLtE0b7FWmelEFV1TMMZfAWZTcghAO8lDkM1zowAyAESXgFzdTvaWx5fs-6D8e4,2026-09-17T11:01:55.076Z,2026-09-17T11:01:55.076236Z,,Refrigerator,Samsung,Authorized Dealer,Madanapalli,90000,Less than 1 year,3-4 members,More than 8h,Yes,0,No,No,Not Applicable,0,5
ACYDBNhy8ThdTT14IXyxQfW31inF8HphSA5jZCH3QGL04inoXGQfj0bRLk0wTmk4LhTJIjc,2026-09-17T05:19:23.414Z,2026-09-17T05:19:23.414807Z,,Refrigerator,LG,Authorized Dealer,Coimbatore,20000,More than 5 years,3-4 members,2-4h,No,0,Yes,No,Not Applicable,0,5
ACYDBNj8Exgdioj739YcFvpmt2Aio22tlsTCapo24Nmb1CsGd47NJ7-1J7pB-ES5XeobfSw,2026-09-17T10:40:13.361Z,2026-09-17T10:40:13.361994Z,,Air Conditioner,Samsung,Authorized Dealer,Delhi,55000,More than 5 years,5 or more members,More than 8h,Yes,3 or more,Yes,Yes,Approved,3 or more,5
ACYDBNgqVQuJSsvZi10AezTgT-pGj36mXtYXgh32RtZupS1HogqVk6MY4Pfh43T9-VKZsLQ,2026-09-17T11:25:35.354Z,2026-09-17T11:25:35.354513Z,,Washing Machine,LG,Authorized Dealer,Coimbatore ,"20,000",More than 5 years,3-4 members,2-4h,No,0,No,No,Not Applicable,0,5
ACYDBNgSYFbK5168r3iCOazkGDa2msI0F1W0Uyd1fFq8HLFdtSQt87E14xHix_MC6g6vMKQ,2026-09-17T10:39:20.033Z,2026-09-17T10:39:20.033005Z,,Refrigerator,Whirlpool,Authorized Dealer,Chennai,30000,1-2 years,3-4 members,More than 8h,No,0,No,No,Not Applicable,0,5
ACYDBNhpOR3WyBVNAyWAPzAWwgp46MYvruJlWGom_-BGAhctj04DBZQDPIhQoXMBT8F6wkc,2026-09-13T20:55:19.749Z,2026-09-13T20:55:19.749044Z,,Washing Machine,LG,Authorized Dealer,Hyderabad,"50,000",3-5 years,3-4 members,Less than 2h,No,0,Yes,Yes,Partially Approved,1,4
ACYDBNj5S54gAwhWYCt6n_ivowQoFSUNOP09EqMeUkNG-ZAKYtqdLdBiRPVe_Uc9gBRB9o8,2026-09-18T18:11:49.321Z,2026-09-18T18:11:49.321199Z,,Washing Machine,Samsung,Authorized Dealer,Chennai,30-40k,Less than 1 year,3-4 members,Less than 2h,No,0,No,No,Not Applicable,0,4
ACYDBNjWJZZ88x0QD77xllQjaXis0dmMzqmeDsrUNo9fMOmotzgA6fD_xO7c5JQJUWXiF7k,2026-09-17T09:53:30.874Z,2026-09-17T09:53:30.874576Z,,Washing Machine,Panasonic,Authorized Dealer,Karur,"20,000",More than 5 years,3-4 members,Less than 2h,No,0,Yes,No,Not Applicable,1,4
ACYDBNjuLZWIkrDMZloqWHiJNdo6NfJRZLPyhdgxRzQYgCHU8X-S6wOWBQmFKkLbPhDc0QY,2026-09-17T13:57:00.451Z,2026-09-17T13:57:00.451137Z,,Washing Machine,LG,Authorized Dealer,Chennai,"30,000",More than 5 years,3-4 members,Less than 2h,Yes,1,Yes,No,Not Applicable,1,4
